strategy,instances,valid_instances,valid_percent,optimal_instances,optimal_percent,min_attaining_instances,min_attaining_percent,mean_size_valid,mean_ratio_to_optimum_valid,median_ratio_to_optimum_valid,p95_ratio_to_optimum_valid,max_ratio_to_optimum_valid,total_seconds
greedy_max_coverage,1000,1000,100.0,927,92.7,927,92.7,3.87,1.0231285714285714,1.0,1.25,1.5,0.03708290008944459
closed_degree,1000,1000,100.0,890,89.0,890,89.0,3.923,1.0482333333333334,1.0,1.3333333333333333,2.5,0.02867339988006279
low_degree_witness,1000,1000,100.0,848,84.8,848,84.8,3.984,1.07955,1.0,1.5,3.0,0.030804000212810934
medium_degree_witness,1000,1000,100.0,883,88.3,883,88.3,3.932,1.05405,1.0,1.5,2.5,0.03264629977638833
order_ownership_late,1000,792,79.2,658,65.8,658,65.8,3.6426767676767677,1.0598935786435786,1.0,1.5,2.0,0.03181660038535483
order_ownership_early,1000,792,79.2,645,64.5,645,64.5,3.659090909090909,1.0647336459836458,1.0,1.5,2.0,0.030797100393101573
seed_and_complete,1000,1000,100.0,998,99.8,998,99.8,3.799,1.0005,1.0,1.0,1.25,0.2072545992268715
salvador_auxiliary,1000,1000,100.0,854,85.4,854,85.4,3.99,1.1072333333333333,1.0,1.5,5.0,0.4863666996534448
reverse_delete_input,1000,1000,100.0,579,57.9,579,57.9,4.417,1.2405757936507937,1.0,2.0,5.0,0.027820600429549813
reverse_delete_reverse,1000,1000,100.0,612,61.2,612,61.2,4.336,1.1759261904761904,1.0,1.6666666666666667,3.5,0.026907300343737006
reverse_delete_high_degree,1000,1000,100.0,279,27.9,279,27.9,5.003,1.4283222222222223,1.3333333333333333,2.3333333333333335,5.0,0.03145599921117537
reverse_delete_low_degree,1000,1000,100.0,887,88.7,887,88.7,3.926,1.0490261904761906,1.0,1.3333333333333333,2.5,0.03100310018635355
lifted_tscc_baker,1000,1000,100.0,878,87.8,878,87.8,3.925,1.051509523809524,1.0,1.5,2.0,0.10688120048143901
